Date,Color,color,base_color,simple_color,single_color,color_has_multi,color_has_blue,color_has_orange,color_has_red,color_has_grey,color_has_gold,color_has_white,color_has_tan,color_has_brown,color_has_black,Breed,Purebred,CKC Class,ckc_class,Sex,State,Name,DateCreated
2014-04-09,Brown,Brown,brown,brown,brown,0,0,0,0,0,0,0,0,1,0,Labrador,Labrador Retriever,Sporting Dog,sporting,M,lost,Teddy,2014-04-09
2014-04-09,White,White,white,white,white,0,0,0,0,0,0,1,0,0,0,Chihuahua,Chihuahua,Toy Dog,toy,F/S,lost,Wink,2014-04-09
2014-04-09,Black,Black,black,black,black,0,0,0,0,0,0,0,0,0,1,Germ. Shepherd,German Shepherd Dog,Herding Dog,herding,M,lost,Max,2014-04-09
2014-04-09,White,White,white,white,white,0,0,0,0,0,0,1,0,0,0,,,,,M,lost,,2014-04-09
2014-04-10,Black,Black,black,black,black,0,0,0,0,0,0,0,0,0,1,Blue Heeler,Blue Heeler,Herding Dog,herding,M,lost,Buffy,2014-04-10
2014-04-10,Black,Black,black,black,black,0,0,0,0,0,0,0,0,0,1,Germ. Shepherd,German Shepherd Dog,Herding Dog,herding,M,lost,Tyson or Hansen?,2014-04-10
2014-04-10,White,White,white,white,white,0,0,0,0,0,0,1,0,0,0,Tabby Main Coon,Maine Coon Cat,,,,lost,,2014-04-10
2014-04-11,Apricot,Apricot,orange,orange,orange,0,0,1,0,0,0,0,0,0,0,Tabby Cat,Tabby Cat,,,M,lost,Myles,2014-04-11
2014-04-11,Cream,Cream,cream,white,white,0,0,0,0,0,0,1,0,0,0,Chihuahua,Chihuahua,Toy Dog,toy,F/S,lost,Tiny,2014-04-11
2014-04-12,Brown,Brown,brown,brown,brown,0,0,0,0,0,0,0,0,1,0,Heeler,Heeler,Herding Dog,herding,F/S,lost,Trout,2014-04-12
2014-04-13,White,White,white,white,white,0,0,0,0,0,0,1,0,0,0,Chihuahua,Chihuahua,Toy Dog,toy,M,lost,Smudge,2014-04-13
2014-04-13,,,,?,,0,0,0,0,0,0,0,0,0,0,Muted calico,Muted calico,,,F,lost,Nora,2014-04-13
2014-04-13,Grey,Grey,grey,grey,grey,0,0,0,0,1,0,0,0,0,0,Maincoon.,Maine Coon Cat,,,M,lost,Max,2014-04-13
2014-04-14,Black,Black,black,black,black,0,0,0,0,0,0,0,0,0,1,DSH,DSH Cat,,,M/N,lost,,2014-04-14
2014-04-16,Brown,Brown,brown,brown,brown,0,0,0,0,0,0,0,0,1,0,Chihuahua,Chihuahua,Toy Dog,toy,F/S,lost,Lucia,2014-04-16
2014-04-17,Black,Black,black,black,black,0,0,0,0,0,0,0,0,0,1,Chihuahua,Chihuahua,Toy Dog,toy,M,lost,Kashi,2014-04-17
2014-04-17,Black,Black,black,black,black,0,0,0,0,0,0,0,0,0,1,Aust. Shepherd,Australian Shepherd,Herding Dog,herding,F,lost,Bali,2014-04-17
2014-04-17,Red,Red,red,red,red,0,0,0,1,0,0,0,0,0,0,Chihuahua,Chihuahua,Toy Dog,toy,M,lost,,2014-04-17
2014-04-19,Tan,Tan,tan,tan,tan,0,0,0,0,0,0,0,1,0,0,Yorkie X,Dog Crossbreed,Dog Crossbreed,crossbreed,M,lost,Kobe,2014-04-19
2014-04-20,Tan,Tan,tan,tan,tan,0,0,0,0,0,0,0,1,0,0,Chihuahua,Chihuahua,Toy Dog,toy,F,lost,Lucia,2014-04-20
2014-04-20,Cream,Cream,cream,white,white,0,0,0,0,0,0,1,0,0,0,Shih Tzu,Shih Tzu,Non-Sporting Dog,nonsporting,M,lost,Maisi,2014-04-20
2014-04-22,,,,?,,0,0,0,0,0,0,0,0,0,0,.Unknown Breed Mix,Dog Crossbreed,Dog Crossbreed,crossbreed,M/N,lost,,2014-04-22
2014-04-22,Black,Black,black,black,black,0,0,0,0,0,0,0,0,0,1,Germ. Shepherd,German Shepherd Dog,Herding Dog,herding,M/N,lost,Bing Lee,2014-04-23
2014-04-23,White,White,white,white,white,0,0,0,0,0,0,1,0,0,0,Miniature Poodle,Poodle,Non-Sporting Dog,nonsporting,M/N,lost,Buddy,2014-04-23
2014-04-23,Black,Black,black,black,black,0,0,0,0,0,0,0,0,0,1,Shih Tzu,Shih Tzu,Non-Sporting Dog,nonsporting,M,lost,Lancelot,2014-04-23
2014-04-23,Black,Black,black,black,black,0,0,0,0,0,0,0,0,0,1,Shepherd X,Dog Crossbreed,Dog Crossbreed,crossbreed,F,lost,Seeker,2014-04-23
2014-04-24,Cream,Cream,cream,white,white,0,0,0,0,0,0,1,0,0,0,Cocker Spaniel,Cocker Spaniel,Sporting Dog,sporting,M/N,lost,Chilly Bear,2014-04-24
2014-04-24,Black,Black,black,black,black,0,0,0,0,0,0,0,0,0,1,.Unknown Breed Mix,Dog Crossbreed,Dog Crossbreed,crossbreed,F/S,lost,Not given,2014-04-24
2014-04-25,Black,Black,black,black,black,0,0,0,0,0,0,0,0,0,1,Germ. Shepherd,German Shepherd Dog,Herding Dog,herding,M/N,lost,Avery,2014-04-25
2014-04-25,Golden,Golden,gold,gold,gold,0,0,0,0,0,1,0,0,0,0,Goldendoodle,Dog Crossbreed,Dog Crossbreed,crossbreed,M,lost,Sam,2014-04-25
2014-04-25,Brown,Brown,brown,brown,brown,0,0,0,0,0,0,0,0,1,0,Chihuahua,Chihuahua,Toy Dog,toy,M,lost,JoJo,2014-04-26
2014-04-26,Brown,Brown,brown,brown,brown,0,0,0,0,0,0,0,0,1,0,Abyssinian,Abyssinian Cat,,,F,lost,,2014-04-26
2014-04-27,Black,Black,black,black,black,0,0,0,0,0,0,0,0,0,1,Shih Tzu,Shih Tzu,Non-Sporting Dog,nonsporting,F,lost,Flower Pot,2014-04-27
2014-04-27,Brown,Brown,brown,brown,brown,0,0,0,0,0,0,0,0,1,0,Boston Terrier,Boston Terrier,Non-Sporting Dog,nonsporting,F,lost,,2014-04-27
2014-04-29,Cream,Cream,cream,white,white,0,0,0,0,0,0,1,0,0,0,Siamese,Siamese Cat,,,M,lost,Sparkles,2014-04-29
2014-04-29,White,White,white,white,white,0,0,0,0,0,0,1,0,0,0,DMH,DMH Cat,,,M/N,lost,Gazoo,2014-04-29
2014-04-29,Black,Black,black,black,black,0,0,0,0,0,0,0,0,0,1,Collie,Collie,Herding Dog,herding,F/S,lost,Cassidy,2014-04-29
2014-04-30,Black,Black,black,black,black,0,0,0,0,0,0,0,0,0,1,Bull Mastiff,Bull Mastiff,Working Dog,working,M,lost,Rosco,2014-04-30
2014-05-01,Grey,Grey,grey,grey,grey,0,0,0,0,1,0,0,0,0,0,Long hair,Long hair,,,M,lost,Timmy,2014-05-01
2014-05-01,Black,Black,black,black,black,0,0,0,0,0,0,0,0,0,1,Toy Poodle,Toy Poodle,Toy Dog,toy,M,lost,Oliver,2014-05-01
2014-04-18,Black,Black,black,black,black,0,0,0,0,0,0,0,0,0,1,DSH,DSH Cat,,,F/S,lost,Miso,2014-05-01
2014-05-02,Grey,Grey,grey,grey,grey,0,0,0,0,1,0,0,0,0,0,Tabby,Tabby Cat,,,M,lost,Simon,2014-05-02
2014-05-03,Golden,Golden,gold,gold,gold,0,0,0,0,0,1,0,0,0,0,Persian,Persian,,,M,lost,Persy,2014-05-03
2014-05-04,Black,Black,black,black,black,0,0,0,0,0,0,0,0,0,1,.Unknown Breed Mix,Dog Crossbreed,Dog Crossbreed,crossbreed,F,lost,Chill,2014-05-04
2014-05-04,Black,Black,black,black,black,0,0,0,0,0,0,0,0,0,1,Terrier,Terrier,Terrier,terrier,M,lost,Blacky,2014-05-04
2014-05-05,Black,Black,black,black,black,0,0,0,0,0,0,0,0,0,1,Germ. Shepherd,German Shepherd Dog,Herding Dog,herding,M,lost,Bailey,2014-05-05
2014-05-06,Grey,Grey,grey,grey,grey,0,0,0,0,1,0,0,0,0,0,.Unknown Breed Mix,Dog Crossbreed,Dog Crossbreed,crossbreed,F,lost,lola,2014-05-06
2014-05-06,Orange.,Orange,orange,orange,orange,0,0,1,0,0,0,0,0,0,0,.Unknown Breed Mix,Dog Crossbreed,Dog Crossbreed,crossbreed,M,lost,,2014-05-06
2014-05-06,Black,Black,black,black,black,0,0,0,0,0,0,0,0,0,1,Shih Tzu,Shih Tzu,Non-Sporting Dog,nonsporting,F/S,lost,Cookie,2014-05-06
2014-05-07,White,White,white,white,white,0,0,0,0,0,0,1,0,0,0,Jack Russell Terrier,Jack Russell Terrier,Terrier,terrier,F,lost,Stitch,2014-05-07
2014-05-07,Black,Black,black,black,black,0,0,0,0,0,0,0,0,0,1,Lab X,Dog Crossbreed,Dog Crossbreed,crossbreed,,lost,,2014-05-07
2014-05-08,Black,Black,black,black,black,0,0,0,0,0,0,0,0,0,1,,,,,M,lost,Louie,2014-05-08
2014-05-08,Brown,Brown,brown,brown,brown,0,0,0,0,0,0,0,0,1,0,Tabby,Tabby Cat,,,M,lost,copper,2014-05-08
2014-05-08,White,White,white,white,white,0,0,0,0,0,0,1,0,0,0,Pitbull,Pitbull,Terrier,terrier,M,lost,Dic,2014-05-08
2014-05-08,Black,Black,black,black,black,0,0,0,0,0,0,0,0,0,1,Shih Tzu,Shih Tzu,Non-Sporting Dog,nonsporting,F,lost,Brittney,2014-05-08
2014-05-08,Grey,Grey,grey,grey,grey,0,0,0,0,1,0,0,0,0,0,Weimaraner,Weimaraner,Sporting Dog,sporting,M,lost,Nova,2014-05-08
2014-05-09,White,White,white,white,white,0,0,0,0,0,0,1,0,0,0,Pitbull,Pitbull,Terrier,terrier,M,lost,Dick,2014-05-09
2014-05-10,Black,Black,black,black,black,0,0,0,0,0,0,0,0,0,1,DSH,DSH Cat,,,F,lost,Kat,2014-05-10
2014-05-11,White,White,white,white,white,0,0,0,0,0,0,1,0,0,0,,,,,F,lost,tofu,2014-05-11
2014-05-11,White,White,white,white,white,0,0,0,0,0,0,1,0,0,0,Aust. Shepherd,Australian Shepherd,Herding Dog,herding,M,lost,,2014-05-11
2014-05-11,Black,Black,black,black,black,0,0,0,0,0,0,0,0,0,1,Yorkshire Terrier,Yorkshire Terrier,Toy Dog,toy,M,lost,Buddy,2014-05-11
2014-05-12,Yellow,Yellow,yellow,gold,gold,0,0,0,0,0,1,0,0,0,0,,,,,M/N,lost,,2014-05-12
2014-04-25,Black,Black,black,black,black,0,0,0,0,0,0,0,0,0,1,Chihuahua,Chihuahua,Toy Dog,toy,F,lost,Ruby,2014-05-12
2014-05-13,Orange tabby,Orange,orange,orange,orange,0,0,1,0,0,0,0,0,0,0,,,,,M,lost,Chibi,2014-05-13
2014-05-13,Red,Red,red,red,red,0,0,0,1,0,0,0,0,0,0,Pomeranian,Pomeranian,Toy Dog,toy,F,lost,Sugar,2014-05-13
2014-05-13,Black,Black,black,black,black,0,0,0,0,0,0,0,0,0,1,Boxer,Boxer,Working Dog,working,F/S,lost,Maggie,2014-05-13
2014-05-14,White,White,white,white,white,0,0,0,0,0,0,1,0,0,0,Maltese,Maltese,Toy Dog,toy,M,lost,,2014-05-14
2014-05-14,White,White,white,white,white,0,0,0,0,0,0,1,0,0,0,Cocker Spaniel,Cocker Spaniel,Sporting Dog,sporting,F,lost,Nova,2014-05-14
2014-05-14,Grey,Grey,grey,grey,grey,0,0,0,0,1,0,0,0,0,0,Tabby,Tabby Cat,,,F/S,lost,Luvie,2014-05-14
2014-05-15,Black,Black,black,black,black,0,0,0,0,0,0,0,0,0,1,Yorkie X,Dog Crossbreed,Dog Crossbreed,crossbreed,F,lost,Peanut,2014-05-15
2014-05-15,Grey,Grey,grey,grey,grey,0,0,0,0,1,0,0,0,0,0,Miniature Poodle,Poodle,Non-Sporting Dog,nonsporting,M/N,lost,Toto,2014-05-15
2014-05-16,Black,Black,black,black,black,0,0,0,0,0,0,0,0,0,1,Chihuahua,Chihuahua,Toy Dog,toy,F,lost,Ducky,2014-05-16
2014-05-16,Black,Black,black,black,black,0,0,0,0,0,0,0,0,0,1,DSH,DSH Cat,,,M,lost,Capone,2014-05-16
2014-05-17,White,White,white,white,white,0,0,0,0,0,0,1,0,0,0,Bichon Frise,Bichon Frise,Non-Sporting Dog,nonsporting,M,lost,Chewy,2014-05-17
2014-05-17,White,White,white,white,white,0,0,0,0,0,0,1,0,0,0,Toy Poodle,Toy Poodle,Toy Dog,toy,F,lost,Bobo,2014-05-17
2014-05-18,Brown,Brown,brown,brown,brown,0,0,0,0,0,0,0,0,1,0,Chihuahua,Chihuahua,Toy Dog,toy,F,lost,Chichi,2014-05-18
2014-05-18,White,White,white,white,white,0,0,0,0,0,0,1,0,0,0,Hound,Hound,Hound,hound,F,lost,Luna,2014-05-18
