,Date,Color,Breed,Sex,State,Name,DateCreated
310,2014-08-03,"Green, Black, cream",Carpet Python Snake,M,Lost,Murmur,2014-08-03
311,2014-08-03,Grey,Tabby,M/N,Lost,Tigger,2014-08-03
312,2014-08-03,Black,Germ. Shepherd,F,Lost,Hailey,2014-08-03
313,2014-08-03,White,Budgie,F,Lost,No name given,2014-08-03
314,2014-08-04,Pibolt brown/white/grey/black,Miniature Jackson,M,Lost,Russell,2014-08-04
315,2014-08-04,Brown,Himalayan,M,Lost,Pepsi,2014-08-04
316,2014-08-05,Brown,Himalayan,F,Lost,Creature,2014-08-05
317,2014-08-05,White,Shih Tzu,M,Lost,Buddy,2014-08-05
318,2014-08-05,Brown,Cocker Spaniel,F,Lost,Gina,2014-08-05
319,2014-08-01,Cream,Small 1yr old cat,F,Lost,None given,2014-08-07
320,2014-08-03,Brown,Dachshund,M/N,Lost,Russell,2014-08-07
321,2014-08-07,Black,Boston Terrier,F,Matched,Princess,2014-08-07
322,2014-08-08,Black,DSH cat,F,Lost,Buttons,2014-08-08
323,2014-08-08,Brown,Burmese cat,F,Lost,Creature,2014-08-08
324,2014-08-08,Grey,Two rabbits,X,Lost,,2014-08-09
325,2014-08-09,Black,Lab X,F,Lost,Cypress,2014-08-09
326,2014-08-09,Black,Yorkshire Terrier,M,Lost,Pepsi,2014-08-09
327,2014-08-08,Grey,Tabby,M,Lost,Buddy,2014-08-10
328,2014-08-10,Brown,Shepherd X,M,Matched,Hank,2014-08-10
329,2014-08-10,Black,Pit Bull,M,Matched,Duke,2014-08-10
330,2014-08-10,Black,tabby Grey black brown,M,Lost,Buddy,2014-08-10
331,2014-08-11,Grey,Grey cat,M,Lost,,2014-08-11
332,2014-08-11,Brown,Shih Tzu,M,Matched,Milo,2014-08-11
333,2014-08-12,Cream,Pomeranian,F,Lost,Tinkerbell,2014-08-12
334,2014-08-12,Black,dusky pionus parrot,F,Lost,Lucky,2014-08-12
335,2014-08-12,Grey,tabby short haireds,M,Matched,kiki,2014-08-12
336,2014-08-12,Black,calico,F/S,Lost,Kodiac,2014-08-12
337,2014-08-12,Cream,Maltipoo,F,Matched,Shinovi,2014-08-12
338,2014-08-13,White,French Poodle,F,Lost,Jolie,2014-08-13
339,2014-08-13,White,Budgie,X,Lost,,2014-08-13
340,2014-08-13,Brown,Labrador,F,Lost,muna,2014-08-13
341,2014-08-14,Brown,Dachshund,M,Lost,russell,2014-08-14
342,2014-08-14,Grey,Lhasa Apso,M,Matched,Kobe,2014-08-14
343,2014-08-14,Black,Calico,F/S,Lost,Purrberry,2014-08-14
344,2014-08-14,Grey,Weimaraner,M,Matched,Baxter,2014-08-14
345,2014-08-14,Grey,Siberian Husky,M,Lost,Askim,2014-08-14
346,2014-08-13,White,DSH,F,Lost,Princess,2014-08-14
347,2014-08-14,Brown,,M,Lost,Max,2014-08-14
348,2014-08-15,Black,Husky,M,Matched,Cyber,2014-08-15
349,2014-08-15,White,Samoyed,F,Lost,Zoe,2014-08-15
350,2014-08-16,White,Persian,F,Lost,Lilly,2014-08-16
351,2014-08-16,Light orange/ white feet/tummy,DSH,F/S,Lost,Honeypie,2014-08-16
352,2014-08-17,Grey,Poodle X,F,Matched,Aspen,2014-08-17
353,2014-08-16,White,Pomeranian,M,Lost,DuDu,2014-08-17
354,2014-08-16,Grey,Shih Tzu,M,Matched,lucky,2014-08-18
355,2014-08-18,Black,Lab X,,Lost,Marlie,2014-08-18
356,2014-08-18,Black,Shih Tzu,F,Lost,Millie,2014-08-18
357,2014-08-18,Black,,M,Lost,Precious,2014-08-18
358,2014-08-19,Black,Lhasa Apso,F,Lost,Soso,2014-08-19
359,2014-08-19,Black,.Unknown Breed Mix,X,Lost,,2014-08-19
360,2014-08-20,Red,Pomeranian,F,Lost,Sarah,2014-08-20
361,2014-08-21,Grey,Staffordshire Bull Terrier,F,Matched,Isis,2014-08-21
362,2014-08-22,White,Brussels Griffon,F,Lost,Chanelle,2014-08-22
363,2014-08-22,Black,Pit X,F,Lost,Kilo,2014-08-22
364,2014-08-22,Black,Short haired black cat,F,Lost,Little Snugs,2014-08-22
365,2014-08-22,Black,Rottie X,M,Lost,Max,2014-08-22
366,2014-08-23,Red,Golden Retriever,M,Lost,Bandit,2014-08-23
367,2014-08-23,Yellow,Budgy,F,Lost,Tweety,2014-08-23
368,2014-08-23,Black,Miniature Pinscher,F,Lost,Rolo,2014-08-23
369,2014-08-23,Black,DSH,F,Lost,Zuzu,2014-08-23
370,2014-08-23,White,Pit Bull,M,Lost,Forte,2014-08-23
