,Date,Color,Breed,Purebred,CKC Class,dog_breed_type,Sex,State,pet_name,DateCreated,is_dog,sex_simple,date_created
158,2014-05-15,Grey,Miniature Poodle,Poodle,Non-Sporting Dog,nonsporting,M/N,Lost,Toto,2014-05-15,True,m,2014-05-15 00:00:00
159,2014-05-16,Black,Chihuahua,Chihuahua,Toy Dog,toy,F,Lost,Ducky,2014-05-16,True,f,2014-05-16 00:00:00
160,2014-05-16,Black,DSH,DSH Cat,,,M,Lost,Capone,2014-05-16,False,m,2014-05-16 00:00:00
161,2014-05-17,White,Bichon Frise,Bichon Frise,Non-Sporting Dog,nonsporting,M,Lost,Chewy,2014-05-17,True,m,2014-05-17 00:00:00
162,2014-05-17,White,Toy Poodle,Toy Poodle,Toy Dog,toy,F,Lost,Bobo,2014-05-17,True,f,2014-05-17 00:00:00
163,2014-05-18,Brown,Chihuahua,Chihuahua,Toy Dog,toy,F,Lost,Chichi,2014-05-18,True,f,2014-05-18 00:00:00
164,2014-05-18,White,Hound,Hound,Hound,hound,F,Lost,Luna,2014-05-18,True,f,2014-05-18 00:00:00
165,2014-05-19,Other,Vizsla,Vizsla,Sporting Dog,sporting,M,Lost,Trigger,2014-05-19,True,m,2014-05-19 00:00:00
166,2014-05-20,Brown,Yorkshire Terrier,Yorkshire Terrier,Toy Dog,toy,M,Lost,Cashmere,2014-05-20,True,m,2014-05-20 00:00:00
167,2014-05-20,Black,DMH,DMH Cat,,,F/S,Lost,Millie,2014-05-20,False,f,2014-05-20 00:00:00
168,2014-05-20,White,Beagle,Beagle,Hound,hound,M,Lost,Maxie,2014-05-20,True,m,2014-05-20 00:00:00
169,2014-05-20,Grey,Cat,Cat,,,M/N,Lost,Oliver,2014-05-20,False,m,2014-05-20 00:00:00
170,2014-05-20,White,Cat,Cat,,,F,Lost,Vinegar,2014-05-20,False,f,2014-05-20 00:00:00
171,2014-05-18,Brown,Tabby,Tabby Cat,,,F/S,Lost,Ginger,2014-05-20,False,f,2014-05-20 00:00:00
172,2014-05-20,Brown,Beagle,Beagle,Hound,hound,M,Lost,Henry,2014-05-20,True,m,2014-05-20 00:00:00
173,2014-05-21,Black,Cat,Cat,,,M,Lost,Elais,2014-05-21,False,m,2014-05-21 00:00:00
174,2014-05-21,Other,Pug,Pug,Toy Dog,toy,M,Lost,Bogart,2014-05-21,True,m,2014-05-21 00:00:00
175,2014-05-22,White,Corgi,Corgi,Herding Dog,herding,M,Lost,Lyrus,2014-05-22,True,m,2014-05-22 00:00:00
176,2014-05-23,Brown,Cat,Cat,,,M,Lost,Ivan,2014-05-23,False,m,2014-05-23 00:00:00
177,2014-05-24,Other,Pit X,Dog Crossbreed,Dog Crossbreed,crossbreed,X,Lost,Not Provided,2014-05-24,True,x,2014-05-24 00:00:00
178,2014-05-26,Brown,Tabby,Tabby Cat,,,M,Lost,Teddy,2014-05-26,False,m,2014-05-26 00:00:00
179,2014-05-26,Black,Lab X,Dog Crossbreed,Dog Crossbreed,crossbreed,M,Lost,Dhillion,2014-05-26,True,m,2014-05-26 00:00:00
180,2014-05-28,Other,Staffordshire Bull Terrier,Staffordshire Bull Terrier,Terrier,terrier,F,Lost,Taya,2014-05-28,True,f,2014-05-28 00:00:00
181,2014-05-30,Other,DSH Cat,DSH Cat,,,F,Lost,Ruckie,2014-05-30,False,f,2014-05-30 00:00:00
182,2014-05-30,Black,DSH Cat,DSH Cat,,,M,Lost,,2014-05-30,False,m,2014-05-30 00:00:00
183,2014-05-30,White,Chihuahua,Chihuahua,Toy Dog,toy,F,Lost,Missy,2014-05-30,True,f,2014-05-30 00:00:00
184,2014-05-30,Brown,Chihuahua,Chihuahua,Toy Dog,toy,M,Lost,Rocko,2014-05-30,True,m,2014-05-30 00:00:00
185,2014-05-30,Black,Doberman Pinscher,Doberman,Working Dog,working,,Lost,Duke,2014-05-30,True,x,2014-05-30 00:00:00
186,2014-05-30,Brown,Miniature Pinscher,Miniature Pinscher,Toy Dog,toy,M,Lost,Milo,2014-05-30,True,m,2014-05-30 00:00:00
